Tanggal,Beras Premium,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Pasir/Konsumsi,Minyak Goreng Kms. Sederhana,Tepung Terigu (Curah),Minyak Goreng Curah,Cabai Merah Besar,Jagung Pipilan Kering,Kentang,Tomat
01/01/2024,14750,12450,13000,35000,34000,50000,68000,110000,31000,26500,16500,15500,9000,15500,56000,10000,17000,17000
02/01/2024,14490,12450,13000,35000,34000,48000,68000,110000,31000,26500,16500,15500,9000,15500,54000,10000,17000,18000
03/01/2024,14490,12450,13000,35000,34000,56000,64000,110000,30000,26500,16500,15500,9000,15500,56000,10000,17000,18000
04/01/2024,14490,12450,13000,35000,34000,56000,65000,110000,30000,26500,16500,15500,9000,15500,56000,10000,17000,18000
05/01/2024,#N/A,12450,13000,35000,34000,50000,58000,110000,30000,26500,16500,15500,10000,15500,52000,10000,17000,19000
06/01/2024,14000,12450,13000,35000,34000,48000,54000,110000,30000,26500,16500,15500,9000,15500,48000,10000,17000,20000
07/01/2024,14490,12450,13000,35000,34000,48000,53000,110000,30000,26500,16500,15500,9000,15500,48000,10000,17000,19000
08/01/2024,14490,12450,13000,34000,34000,52000,56000,110000,30000,26000,16500,15500,9000,15500,53000,10000,17000,19000
09/01/2024,14490,12450,13000,34000,34000,55000,60000,110000,30000,26000,16500,15500,9000,15500,55000,10000,17000,19000
10/01/2024,14490,12450,13000,34000,34000,52000,45000,110000,30000,26000,16500,15500,9000,15500,52000,10000,17000,19000
11/01/2024,14490,12450,13000,34000,34000,53000,36000,110000,30000,26000,16500,15500,9000,15500,55000,10000,17000,19000
12/01/2024,14490,12450,13000,34000,34000,52000,30000,110000,30000,26000,16500,15500,9000,15500,52000,10000,17000,18000
13/01/2024,14490,12450,13000,34000,34000,50000,40000,110000,30000,26000,16500,15500,9000,15500,52000,10000,17000,18000
14/01/2024,14490,12450,13000,32000,34000,55000,42000,110000,31000,25000,16500,15500,9000,15500,56000,10000,18000,20000
15/01/2024,14490,12450,13000,25000,32000,50000,42000,110000,31000,25000,16000,15500,9000,15500,58000,10000,18000,18000
16/01/2024,14490,12450,13000,25000,32000,55000,42000,110000,31000,25000,16000,15500,9000,15500,65000,10000,18000,17000
17/01/2024,14490,12450,13000,25000,32000,55000,42000,110000,31000,25000,16000,15500,9000,15500,56000,10000,20000,16000
18/01/2024,14490,12450,13000,25000,34000,48000,32000,110000,31000,25000,16500,15500,10000,15500,65000,10000,20000,17000
19/01/2024,14490,12800,13250,29000,39000,56000,42000,110000,31500,27000,16000,15000,8700,14600,56000,10000,20000,18000
20/01/2024,14490,12800,13250,29000,42000,60000,39000,110000,31500,26600,16500,15000,8750,14625,64500,10000,20000,19000
21/01/2024,14490,12800,13250,27500,38000,57500,36500,100000,31000,26600,16500,15000,9250,14625,67000,10000,20000,19000
22/01/2024,15000,12967,13150,29000,40000,60000,31000,100000,31000,26600,16500,15000,9250,14625,67500,10000,22000,19000
23/01/2024,15000,12800,13150,26500,41000,57500,27500,100000,31000,26600,16500,15000,9250,14400,77500,10000,20000,20000
24/01/2024,15000,12967,13150,28000,40000,62500,31000,100000,30000,26500,16500,15000,8750,14625,74500,10000,20000,20000
25/01/2024,15000,12967,13150,27000,41000,60000,33000,102500,30000,26500,16500,15000,8750,14625,74000,10000,20000,20000
